6406500950,SMCI,SMCI,2025-02-11,amc
2311455014,CVS,CVS,2025-02-12,bmo
1883171239,CSCO,CSCO,2025-02-12,amc
1788779924,KO,KO,2025-02-11,bmo
1674681237,GILD,GILD,2025-02-11,amc
1570947771,WMT,WMT,2025-02-20,bmo
1490569505,ANET,ANET,2025-02-10,amc
1201259920,AMAT,AMAT,2025-02-13,amc
999145845,BKNG,BKNG,2025-02-20,amc
971661043,DE,DE,2025-02-13,bmo
956706132,MCD,MCD,2025-02-10,bmo
863803700,ABNB,ABNB,2025-02-13,amc
820853564,PANW,PANW,2025-02-13,amc
793040027,SPGI,SPGI,2025-02-11,bmo
782071188,MAR,MAR,2025-02-11,bmo
778564794,WAB,WAB,2025-02-12,bmo
735645694,FIS,FIS,2025-02-11,bmo
709158941,EW,EW,2025-02-11,amc
689049336,HUM,HUM,2025-02-11,bmo
687256823,MLM,MLM,2025-02-12,bmo
644310276,MDT,MDT,2025-02-18,bmo
641122041,CME,CME,2025-02-12,bmo
598916579,MCO,MCO,2025-02-13,bmo
560425422,NEM,NEM,2025-02-20,amc
558935297,WELL,WELL,2025-02-11,amc
547726383,KHC,KHC,2025-02-12,bmo
515996550,ECL,ECL,2025-02-11,bmo
515722112,VRTX,VRTX,2025-02-10,amc
507019188,OXY,OXY,2025-02-18,amc
501902359,ZTS,ZTS,2025-02-13,bmo
494672020,ADI,ADI,2025-02-19,bmo
484834800,EQIX,EQIX,2025-02-12,amc
482928168,DUK,DUK,2025-02-13,bmo
475318804,CF,CF,2025-02-19,amc
472103093,BIIB,BIIB,2025-02-12,bmo
471259483,ON,ON,2025-02-10,bmo
464777288,ZBRA,ZBRA,2025-02-13,bmo
449265175,WAT,WAT,2025-02-12,bmo
442115481,EXC,EXC,2025-02-12,bmo
436317039,WMB,WMB,2025-02-12,amc
427106882,HWM,HWM,2025-02-13,bmo
426663187,GNRC,GNRC,2025-02-12,bmo
425221647,AIG,AIG,2025-02-11,amc
414836411,SW,SW,2025-02-12,bmo
414624172,CARR,CARR,2025-02-11,bmo
410077524,EQT,EQT,2025-02-18,amc
410011703,SO,SO,2025-02-20,bmo
391677837,PCG,PCG,2025-02-13,bmo
389331986,PWR,PWR,2025-02-20,bmo
350302884,ED,ED,2025-02-20,amc
344852388,DXCM,DXCM,2025-02-13,amc
335555894,MSI,MSI,2025-02-13,amc
323734482,AEP,AEP,2025-02-13,bmo
322350651,GPN,GPN,2025-02-13,bmo
321055846,CDNS,CDNS,2025-02-18,amc
315889299,GDDY,GDDY,2025-02-13,amc
314078489,GEHC,GEHC,2025-02-13,bmo
303637931,IRM,IRM,2025-02-13,bmo
302069629,LYV,LYV,2025-02-20,amc
296930411,DVN,DVN,2025-02-18,amc
294395180,DLR,DLR,2025-02-13,amc
292725940,ACGL,ACGL,2025-02-10,amc
288114327,NI,NI,2025-02-12,bmo
287821194,VMC,VMC,2025-02-18,bmo
286000018,TRGP,TRGP,2025-02-20,bmo
285314668,ROK,ROK,2025-02-10,bmo
283899505,D,D,2025-02-12,bmo
276205375,CBRE,CBRE,2025-02-13,bmo
275919837,ES,ES,2025-02-11,amc
262822489,ALB,ALB,2025-02-12,amc
256748211,PAYC,PAYC,2025-02-12,amc
256427936,MGM,MGM,2025-02-12,amc
255999358,RSG,RSG,2025-02-13,amc
255209983,MRNA,MRNA,2025-02-14,bmo
253964374,WST,WST,2025-02-13,bmo
243304274,TYL,TYL,2025-02-12,amc
239053658,PPL,PPL,2025-02-13,bmo
237296993,BLDR,BLDR,2025-02-20,bmo
228486403,TAP,TAP,2025-02-13,bmo
227755896,LDOS,LDOS,2025-02-11,bmo
221983688,ETR,ETR,2025-02-18,bmo
219580044,WYNN,WYNN,2025-02-13,amc
215195345,DD,DD,2025-02-11,bmo
213001081,EPAM,EPAM,2025-02-20,bmo
207005685,CPRT,CPRT,2025-02-20,amc
204623563,AEE,AEE,2025-02-13,amc
199775922,GRMN,GRMN,2025-02-19,bmo
196871290,CRL,CRL,2025-02-19,bmo
192747619,VTR,VTR,2025-02-12,amc
192679073,AWK,AWK,2025-02-19,amc
190192947,CSGP,CSGP,2025-02-18,amc
187939174,IPG,IPG,2025-02-12,bmo
187698306,IR,IR,2025-02-13,amc
187635078,PODD,PODD,2025-02-20,amc
177464362,VICI,VICI,2025-02-20,amc
166430993,DTE,DTE,2025-02-13,amc
155507450,MAS,MAS,2025-02-11,bmo
154106835,ANSS,ANSS,2025-02-19,amc
150297152,GPC,GPC,2025-02-18,bmo
147707305,TPL,TPL,2025-02-19,amc
145039449,ROL,ROL,2025-02-12,amc
143322182,INCY,INCY,2025-02-10,bmo
135092359,AKAM,AKAM,2025-02-20,amc
130639332,ALLE,ALLE,2025-02-18,bmo
128002017,POOL,POOL,2025-02-20,bmo
125757270,CINF,CINF,2025-02-10,amc
122371522,CNP,CNP,2025-02-20,bmo
121705947,EXPD,EXPD,2025-02-18,bmo
114744587,AIZ,AIZ,2025-02-11,amc
106591237,CE,CE,2025-02-18,amc
105122112,LNT,LNT,2025-02-20,amc
98843756,DVA,DVA,2025-02-13,amc
88102220,BAX,BAX,2025-02-20,bmo
87185846,LKQ,LKQ,2025-02-20,bmo
83414087,L,L,2025-02-10,bmo
83088185,IFF,IFF,2025-02-18,amc
78164488,FRT,FRT,2025-02-13,amc
71251947,HST,HST,2025-02-19,amc
65321984,TRMB,TRMB,2025-02-19,bmo
56349283,HAS,HAS,2025-02-20,bmo
49029702,NDSN,NDSN,2025-02-19,amc
