CMG,2025-02-04,amc
DEI,2025-02-04,amc
SPOT,2025-02-04,bmo
AMGN,2025-02-04,amc
MRCY,2025-02-04,amc
MLAB,2025-02-04,bmo
WKSP,2025-02-04,amc
VLTO,2025-02-04,amc
HIMX,2025-02-04,amc
INTA,2025-02-04,amc
KKR,2025-02-04,bmo
INGR,2025-02-04,bmo
INNV,2025-02-04,amc
SNAP,2025-02-04,amc
WTW,2025-02-04,bmo
AAT,2025-02-04,amc
OSCR,2025-02-04,amc
INMD,2025-02-04,bmo
ENVA,2025-02-04,amc
TDG,2025-02-04,bmo
EA,2025-02-04,dmh
ZWS,2025-02-04,amc
UNM,2025-02-04,amc
MPC,2025-02-04,bmo
PNR,2025-02-04,bmo
BERY,2025-02-04,bmo
MTCH,2025-02-04,amc
ALGT,2025-02-04,amc
AMTM,2025-02-04,amc
JKHY,2025-02-04,amc
ENR,2025-02-04,bmo
OMC,2025-02-04,amc
HRB,2025-02-04,amc
AME,2025-02-04,bmo
J,2025-02-04,bmo
BALL,2025-02-04,bmo
AMCR,2025-02-04,bmo
AMD,2025-02-04,amc
AVNW,2025-02-04,amc
BDN,2025-02-04,amc
SNCY,2025-02-04,bmo
PYPL,2025-02-04,bmo
ENPH,2025-02-04,amc
GBDC,2025-02-04,amc
JNPR,2025-02-04,amc
PINC,2025-02-04,bmo
MLI,2025-02-04,bmo
PJT,2025-02-04,bmo
THG,2025-02-04,amc
SLAB,2025-02-04,bmo
ACT,2025-02-04,amc
ADM,2025-02-04,bmo
MSGS,2025-02-04,bmo
FICO,2025-02-04,amc
ATKR,2025-02-04,bmo
MWA,2025-02-04,amc
APO,2025-02-04,bmo
KTCC,2025-02-04,amc
KLIC,2025-02-04,amc
LANC,2025-02-04,bmo
ESS,2025-02-04,amc
EGHT,2025-02-04,amc
ICHR,2025-02-04,amc
IT,2025-02-04,bmo
LARK,2025-02-04,amc
IESC,2025-02-04,bmo
TELO,2025-02-04,amc
CRVL,2025-02-04,bmo
OI,2025-02-04,amc
VOYA,2025-02-04,amc
APAM,2025-02-04,amc
XYL,2025-02-04,bmo
GPK,2025-02-04,bmo
SPG,2025-02-04,amc
PFE,2025-02-04,bmo
THFF,2025-02-04,dmh
VRNS,2025-02-04,amc
FMC,2025-02-04,amc
MOD,2025-02-04,amc
LUMN,2025-02-04,amc
EPD,2025-02-04,bmo
WEC,2025-02-04,bmo
AUDC,2025-02-04,bmo
CTS,2025-02-04,bmo
CHX,2025-02-04,amc
HUBB,2025-02-04,bmo
NOV,2025-02-04,amc
SKY,2025-02-04,amc
KE,2025-02-04,amc
HLNE,2025-02-04,bmo
PEP,2025-02-04,bmo
CRTO,2025-02-05,bmo
KMT,2025-02-05,bmo
NVST,2025-02-05,amc
WFRD,2025-02-05,amc
RXO,2025-02-05,bmo
ODFL,2025-02-05,bmo
DIS,2025-02-05,bmo
SRTS,2025-02-05,amc
COR,2025-02-05,bmo
WEX,2025-02-05,amc
CPRI,2025-02-05,bmo
TTMI,2025-02-05,amc
UHAL,2025-02-05,amc
STC,2025-02-05,amc
BLBD,2025-02-05,amc
DHX,2025-02-05,amc
PI,2025-02-05,amc
PYCR,2025-02-05,amc
DHT,2025-02-05,amc
PTEN,2025-02-05,amc
CSGS,2025-02-05,amc
HI,2025-02-05,amc
NTGR,2025-02-05,amc
MOH,2025-02-05,amc
FORM,2025-02-05,amc
DLX,2025-02-05,amc
VSH,2025-02-05,bmo
TECH,2025-02-05,bmo
EMR,2025-02-05,bmo
ARM,2025-02-05,amc
GFF,2025-02-05,bmo
ARAY,2025-02-05,amc
AFL,2025-02-05,amc
KMPR,2025-02-05,amc
MAA,2025-02-05,amc
MPLX,2025-02-05,amc
BARK,2025-02-05,amc
BSX,2025-02-05,bmo
ARCC,2025-02-05,bmo
RSVR,2025-02-05,bmo
LUCK,2025-02-05,bmo
F,2025-02-05,amc
CNXN,2025-02-05,amc
APPS,2025-02-05,amc
STE,2025-02-05,amc
TROW,2025-02-05,bmo
ALGN,2025-02-05,amc
JCI,2025-02-05,bmo
MSTR,2025-02-05,amc
BG,2025-02-05,bmo
CNMD,2025-02-05,amc
AMSC,2025-02-05,amc
SWK,2025-02-05,bmo
BDX,2025-02-05,amc
CCK,2025-02-05,amc
MUSA,2025-02-05,amc
CTVA,2025-02-05,amc
TRNO,2025-02-05,amc
ARES,2025-02-05,bmo
DGII,2025-02-05,amc
EVR,2025-02-05,bmo
COHR,2025-02-05,amc
RMR,2025-02-05,amc
SNEX,2025-02-05,amc
GL,2025-02-05,amc
AOSL,2025-02-05,amc
TKR,2025-02-05,bmo
GEG,2025-02-05,amc
LSAK,2025-02-05,amc
UBER,2025-02-05,bmo
REXR,2025-02-05,amc
PFGC,2025-02-05,bmo
PTC,2025-02-05,amc
OBT,2025-02-05,amc
CDW,2025-02-05,bmo
VKTX,2025-02-05,amc
