PWR,2025-02-20,bmo
SHYF,2025-02-20,bmo
PRM,2025-02-20,bmo
NU,2025-02-20,amc
HNI,2025-02-20,bmo
NKLA,2025-02-20,amc
VXRT,2025-02-20,amc
IMUX,2025-02-20,amc
TECK,2025-02-20,bmo
DNB,2025-02-20,bmo
LIDR,2025-02-20,amc
CPRT,2025-02-20,amc
REZI,2025-02-20,amc
BIGC,2025-02-20,bmo
HPP,2025-02-20,amc
VAL,2025-02-20,bmo
MPW,2025-02-20,amc
EVH,2025-02-20,amc
SVV,2025-02-20,amc
WFCF,2025-02-20,bmo
AMN,2025-02-20,amc
GH,2025-02-20,amc
GMED,2025-02-20,amc
SHAK,2025-02-20,bmo
TPIC,2025-02-20,amc
ALIT,2025-02-20,bmo
FYBR,2025-02-20,amc
EPAM,2025-02-20,bmo
GDYN,2025-02-20,amc
BCC,2025-02-20,amc
ULS,2025-02-20,bmo
EIG,2025-02-20,amc
RYI,2025-02-20,amc
CERS,2025-02-20,amc
VICR,2025-02-20,amc
LAUR,2025-02-20,bmo
TXRH,2025-02-20,amc
BBDC,2025-02-20,amc
BKNG,2025-02-20,amc
W,2025-02-20,bmo
DAVA,2025-02-20,bmo
RLAY,2025-02-20,amc
MITT,2025-02-20,amc
RGEN,2025-02-20,bmo
TRN,2025-02-20,bmo
SEI,2025-02-20,amc
NTES,2025-02-20,bmo
PLL,2025-02-20,bmo
RHP,2025-02-20,amc
BILI,2025-02-20,bmo
SHEN,2025-02-20,bmo
GCI,2025-02-20,bmo
CHH,2025-02-20,bmo
MERC,2025-02-20,amc
SMSI,2025-02-20,amc
ITGR,2025-02-20,bmo
TPX,2025-02-20,bmo
BABA,2025-02-20,bmo
SATS,2025-02-20,amc
NTLA,2025-02-20,amc
INOD,2025-02-20,amc
U,2025-02-20,bmo
ATSG,2025-02-20,amc
MELI,2025-02-20,amc
SGC,2025-02-20,amc
TVTX,2025-02-20,amc
LAMR,2025-02-20,bmo
STEM,2025-02-20,amc
KYMR,2025-02-20,amc
AXTI,2025-02-20,amc
UEIC,2025-02-20,amc
SEM,2025-02-20,amc
WOW,2025-02-20,amc
CIO,2025-02-20,bmo
INSM,2025-02-20,bmo
SABR,2025-02-20,bmo
MP,2025-02-20,amc
DAO,2025-02-20,bmo
JMIA,2025-02-20,bmo
FG,2025-02-20,amc
DRS,2025-02-20,bmo
NEM,2025-02-20,amc
PAGS,2025-02-20,amc
ATHM,2025-02-20,bmo
CELH,2025-02-20,amc
UPBD,2025-02-20,bmo
LYV,2025-02-20,amc
INDI,2025-02-20,amc
LMAT,2025-02-20,amc
TXMD,2025-02-20,amc
AMPL,2025-02-20,amc
HAS,2025-02-20,bmo
KURA,2025-02-20,amc
ESAB,2025-02-20,bmo
FRPT,2025-02-20,bmo
CDRO,2025-02-20,bmo
GTX,2025-02-20,bmo
RIVN,2025-02-20,amc
CTO,2025-02-20,amc
CCCC,2025-02-20,amc
EXPI,2025-02-20,amc
TALK,2025-02-20,bmo
LFWD,2025-02-20,amc
ED,2025-02-20,amc
ECC,2025-02-20,bmo
DVAX,2025-02-20,amc
LGTY,2025-02-20,amc
CSTM,2025-02-20,bmo
AMH,2025-02-20,amc
DAN,2025-02-20,bmo
CQP,2025-02-20,bmo
TRIP,2025-02-20,bmo
WEAV,2025-02-20,amc
LPSN,2025-02-20,amc
CCJ,2025-02-20,bmo
BBIO,2025-02-20,bmo
CRAI,2025-02-20,bmo
EWTX,2025-02-20,amc
ANIK,2025-02-20,amc
BJRI,2025-02-20,amc
CARG,2025-02-20,amc
ALTR,2025-02-20,amc
FND,2025-02-20,amc
BAX,2025-02-20,bmo
SFM,2025-02-20,amc
WMT,2025-02-20,bmo
VICI,2025-02-20,amc
XYZ,2025-02-20,amc
PKST,2025-02-20,amc
BCOV,2025-02-20,amc
VGZ,2025-02-20,amc
ENV,2025-02-20,amc
ALG,2025-02-20,amc
NEXA,2025-02-20,amc
ZEUS,2025-02-20,amc
BLDR,2025-02-20,bmo
RNG,2025-02-20,amc
LNT,2025-02-20,amc
CCRD,2025-02-20,bmo
AKAM,2025-02-20,amc
VTVT,2025-02-20,amc
REAL,2025-02-20,amc
LKQ,2025-02-20,bmo
SWTX,2025-02-20,bmo
JAKK,2025-02-20,amc
COLD,2025-02-20,bmo
NVEE,2025-02-20,amc
LAW,2025-02-20,amc
CWK,2025-02-20,bmo
IRTC,2025-02-20,amc
DINO,2025-02-20,bmo
GBIO,2025-02-20,amc
WSC,2025-02-20,amc
BAND,2025-02-20,bmo
UTZ,2025-02-20,bmo
OLED,2025-02-20,amc
AMLX,2025-02-20,amc
ALRM,2025-02-20,amc
GHI,2025-02-20,bmo
FNF,2025-02-20,amc
TRGP,2025-02-20,bmo
RS,2025-02-20,amc
PODD,2025-02-20,amc
DBRG,2025-02-20,bmo
CEIX,2025-02-20,bmo
CENX,2025-02-20,amc
RMAX,2025-02-20,amc
MD,2025-02-20,bmo
UPLD,2025-02-20,amc
USPH,2025-02-20,amc
HEES,2025-02-20,amc
CNP,2025-02-20,bmo
BILI,2025-02-20,bmo
COKE,2025-02-20,amc
IVR,2025-02-20,amc
KLTR,2025-02-20,bmo
GRAB,2025-02-20,bmo
FIX,2025-02-20,amc
POOL,2025-02-20,bmo
RYAN,2025-02-20,amc
EIC,2025-02-20,bmo
ACRS,2025-02-20,amc
FIVN,2025-02-20,amc
ACCO,2025-02-20,amc
NBIS,2025-02-20,bmo
SO,2025-02-20,bmo
GKOS,2025-02-20,amc
WKC,2025-02-20,amc
DBX,2025-02-20,amc
GRAL,2025-02-20,amc
MYPS,2025-02-20,amc
IDA,2025-02-20,bmo
INFN,2025-02-20,amc
NVRI,2025-02-20,bmo
GLPI,2025-02-20,amc
GLOB,2025-02-20,amc
ARDX,2025-02-20,bmo
LPRO,2025-02-20,amc
FCN,2025-02-20,bmo
LNG,2025-02-20,bmo
RXT,2025-02-20,amc
METC,2025-02-20,amc
YMAB,2025-02-20,amc
UNIT,2025-02-21,bmo
TDS,2025-02-21,bmo
MODV,2025-02-21,amc
AGM,2025-02-21,bmo
ATMU,2025-02-21,bmo
CTV,2025-02-21,amc
HE,2025-02-21,amc
CEG,2025-02-21,amc
VIPS,2025-02-21,bmo
ASIX,2025-02-21,bmo
FET,2025-02-21,amc
SHO,2025-02-21,bmo
BCPC,2025-02-21,bmo
USM,2025-02-21,bmo
GASS,2025-02-21,bmo
BRC,2025-02-21,bmo
TXNM,2025-02-21,bmo
OIS,2025-02-21,bmo
FUVV,2025-02-21,amc
GHC,2025-02-21,amc
BTCM,2025-02-21,amc
HSTM,2025-02-24,amc
BRDG,2025-02-24,amc
FANG,2025-02-24,amc
SMMT,2025-02-24,bmo
AIV,2025-02-24,amc
SIBN,2025-02-24,amc
KOS,2025-02-24,bmo
DPZ,2025-02-24,bmo
AZUL,2025-02-24,amc
CLNE,2025-02-24,amc
AORT,2025-02-24,amc
FARO,2025-02-24,amc
EVER,2025-02-24,amc
MODG,2025-02-24,amc
PSA,2025-02-24,amc
HOV,2025-02-24,bmo
PRA,2025-02-24,amc
HVT,2025-02-24,amc
NTST,2025-02-24,amc
KBR,2025-02-24,amc
ISPO,2025-02-24,amc
LINC,2025-02-24,amc
BOOM,2025-02-24,amc
AROC,2025-02-24,amc
BSM,2025-02-24,amc
OPAD,2025-02-24,amc
CLF,2025-02-24,amc
ADUS,2025-02-24,amc
BYON,2025-02-24,amc
VRE,2025-02-24,amc
HLIO,2025-02-24,amc
BWXT,2025-02-24,amc
RIOT,2025-02-24,amc
SBAC,2025-02-24,amc
FDP,2025-02-24,bmo
ZD,2025-02-24,amc
WLKP,2025-02-24,bmo
ATIP,2025-02-24,amc
PLOW,2025-02-24,amc
VCYT,2025-02-24,amc
CCO,2025-02-24,bmo
O,2025-02-24,amc
AESI,2025-02-24,amc
MYGN,2025-02-24,amc
PRIM,2025-02-24,amc
BCRX,2025-02-24,bmo
CHGG,2025-02-24,amc
OKE,2025-02-24,amc
CIVI,2025-02-24,amc
HIMS,2025-02-24,amc
CNNE,2025-02-24,amc
WLK,2025-02-24,bmo
CTRA,2025-02-24,amc
TEM,2025-02-24,amc
ZM,2025-02-24,amc
NVTS,2025-02-24,amc
UCTT,2025-02-24,amc
API,2025-02-24,amc
LTC,2025-02-24,amc
OC,2025-02-24,bmo
APLE,2025-02-24,amc
KWR,2025-02-24,amc
HLX,2025-02-24,amc
CRGO,2025-02-24,bmo
JBTM,2025-02-24,amc
TREX,2025-02-24,amc
VVX,2025-02-24,amc
KSPI,2025-02-24,bmo
INN,2025-02-24,amc
MAX,2025-02-24,amc
ZI,2025-02-25,amc
OSUR,2025-02-25,amc
CIFR,2025-02-25,bmo
FSLR,2025-02-25,amc
STRL,2025-02-25,amc
UVE,2025-02-25,amc
TTI,2025-02-25,amc
DNUT,2025-02-25,bmo
RRC,2025-02-25,amc
AXON,2025-02-25,amc
SLRC,2025-02-25,amc
BASE,2025-02-25,amc
HYLN,2025-02-25,amc
IART,2025-02-25,bmo
AGL,2025-02-25,amc
RLJ,2025-02-25,amc
SRE,2025-02-25,bmo
PLYA,2025-02-25,amc
AXGN,2025-02-25,bmo
FLYW,2025-02-25,amc
AMC,2025-02-25,amc
DEA,2025-02-25,bmo
ZETA,2025-02-25,amc
RCUS,2025-02-25,amc
ALLT,2025-02-25,bmo
DHC,2025-02-25,amc
PR,2025-02-25,amc
CART,2025-02-25,amc
DK,2025-02-25,bmo
CBLL,2025-02-25,amc
PTLO,2025-02-25,bmo
USNA,2025-02-25,amc
RVLV,2025-02-25,amc
GIC,2025-02-25,amc
PRCH,2025-02-25,amc
AS,2025-02-25,bmo
CYD,2025-02-25,bmo
LAZR,2025-02-25,amc
SUPN,2025-02-25,amc
LCID,2025-02-25,amc
CRI,2025-02-25,amc
BWIN,2025-02-25,amc
NOVT,2025-02-25,bmo
SSTK,2025-02-25,bmo
AVNS,2025-02-25,amc
EXR,2025-02-25,amc
BLD,2025-02-25,bmo
SES,2025-02-25,amc
DAWN,2025-02-25,amc
PET,2025-02-25,amc
SSTI,2025-02-25,amc
PARR,2025-02-25,amc
TUYA,2025-02-25,amc
HRMY,2025-02-25,amc
GO,2025-02-25,amc
ALEC,2025-02-25,amc
AMT,2025-02-25,bmo
NXRT,2025-02-25,bmo
PNW,2025-02-25,bmo
ZIP,2025-02-25,amc
WBTN,2025-02-25,amc
CECO,2025-02-25,amc
IGIC,2025-02-25,amc
GPOR,2025-02-25,amc
LGIH,2025-02-25,bmo
MRVI,2025-02-25,amc
NAT,2025-02-25,amc
ONTF,2025-02-25,amc
IGT,2025-02-25,bmo
SKWD,2025-02-25,amc
CPNG,2025-02-25,amc
MMSI,2025-02-25,amc
LXFR,2025-02-25,amc
INGN,2025-02-25,amc
RXST,2025-02-25,amc
KTB,2025-02-25,bmo
CAN,2025-02-25,amc
XPRO,2025-02-25,bmo
SHLS,2025-02-25,bmo
CAVA,2025-02-25,amc
JACK,2025-02-25,amc
BTDR,2025-02-25,bmo
IVAC,2025-02-25,amc
SEZL,2025-02-25,amc
CHRD,2025-02-25,amc
ARQT,2025-02-25,amc
LNW,2025-02-25,amc
KDP,2025-02-25,bmo
LODE,2025-02-25,amc
INTU,2025-02-25,amc
ELAN,2025-02-25,bmo
VTEX,2025-02-25,amc
SEE,2025-02-25,bmo
LIVN,2025-02-25,bmo
BOW,2025-02-25,bmo
BLZE,2025-02-25,amc
CGBD,2025-02-25,amc
CWH,2025-02-25,amc
HRZN,2025-02-25,amc
ZNTL,2025-02-25,amc
SILA,2025-02-25,amc
MPLN,2025-02-25,bmo
AWI,2025-02-25,bmo
ROIC,2025-02-25,amc
HURN,2025-02-25,amc
OFIX,2025-02-25,bmo
BGFV,2025-02-25,amc
OLO,2025-02-25,amc
FIHL,2025-02-25,amc
AHCO,2025-02-25,bmo
TZOO,2025-02-25,amc
XHR,2025-02-25,bmo
PCVX,2025-02-25,amc
SPXC,2025-02-25,amc
BGS,2025-02-25,amc
XMTR,2025-02-25,bmo
SAM,2025-02-25,amc
EXLS,2025-02-25,amc
HSIC,2025-02-25,bmo
GOGL,2025-02-25,amc
CZR,2025-02-25,amc
DRVN,2025-02-25,bmo
SGHC,2025-02-25,bmo
KEYS,2025-02-25,amc
PRCT,2025-02-25,amc
QUIK,2025-02-25,amc
ODD,2025-02-25,amc
PLNT,2025-02-25,bmo
WDAY,2025-02-25,amc
TILE,2025-02-25,bmo
NHI,2025-02-25,amc
SPT,2025-02-25,amc
DSX,2025-02-25,amc
PEG,2025-02-25,bmo
DKL,2025-02-25,bmo
WK,2025-02-25,amc
IPAR,2025-02-25,amc
JAZZ,2025-02-25,amc
DOCN,2025-02-25,bmo
MATX,2025-02-25,amc
HY,2025-02-25,amc
CCCS,2025-02-25,amc
ITRI,2025-02-25,bmo
LMND,2025-02-25,amc
ESTA,2025-02-26,amc
MDGL,2025-02-26,bmo
TNDM,2025-02-26,amc
SPCE,2025-02-26,amc
ROOT,2025-02-26,amc
ITRN,2025-02-26,bmo
LAB,2025-02-26,amc
TJX,2025-02-26,bmo
INVH,2025-02-26,amc
EHTH,2025-02-26,bmo
CERT,2025-02-26,amc
A,2025-02-26,amc
SEMR,2025-02-26,amc
NEWT,2025-02-26,amc
KW,2025-02-26,amc
OLPX,2025-02-26,amc
CULP,2025-02-26,amc
SWX,2025-02-26,bmo
IMXI,2025-02-26,bmo
AAOI,2025-02-26,amc
TPC,2025-02-26,amc
LSTA,2025-02-26,amc
CAPL,2025-02-26,amc
DORM,2025-02-26,amc
NPKI,2025-02-26,amc
LSF,2025-02-26,amc
WES,2025-02-26,amc
IMCR,2025-02-26,amc
